northing,easting,upward,residual_gravity
-3209118.740571338,2100616.250874826,2000.0,16.42657838146232
-3204121.2254189923,1910944.785803792,2000.0,21.136367429658208
-3204121.2254189923,1915936.1401477666,2000.0,16.133347868032235
-3204121.2254189923,1920927.4944917413,2000.0,13.11340074148065
-3204121.2254189923,1925918.8488357158,2000.0,11.21312778267943
-3204121.2254189923,1930910.2031796903,2000.0,11.126471659477836
-3204121.2254189923,1935901.557523665,2000.0,10.967696644672156
-3204121.2254189923,1940892.9118676395,2000.0,10.045859352615919
-3204121.2254189923,1945884.2662116142,2000.0,9.815857903842423
-3204121.2254189923,1950875.6205555887,2000.0,7.3626610238535966
-3204121.2254189923,1955866.9748995632,2000.0,6.970464407359867
-3204121.2254189923,1960858.329243538,2000.0,5.378531667781754
-3204121.2254189923,1965849.6835875125,2000.0,5.903430585303964
-3204121.2254189923,1970841.037931487,2000.0,7.062155262069252
-3204121.2254189923,1975832.3922754617,2000.0,7.085931795971074
-3204121.2254189923,1980823.7466194362,2000.0,6.079091225150239
-3204121.2254189923,1985815.100963411,2000.0,4.863622668534045
-3204121.2254189923,1990806.4553073854,2000.0,1.3157688288728342
-3204121.2254189923,1995797.80965136,2000.0,3.425489622800623
-3204121.2254189923,2000789.1639953346,2000.0,3.141558437426894
-3204121.2254189923,2005780.5183393091,2000.0,-0.5264371210739562
-3204121.2254189923,2010771.8726832836,2000.0,2.238248827516201
-3204121.2254189923,2015763.2270272584,2000.0,2.54451344473584
-3204121.2254189923,2020754.5813712329,2000.0,5.77643141712365
-3204121.2254189923,2025745.9357152074,2000.0,4.280229639440414
-3204121.2254189923,2030737.290059182,2000.0,1.6434093781052943
-3204121.2254189923,2035728.6444031566,2000.0,1.639340498581934
-3204121.2254189923,2040719.9987471313,2000.0,3.436299544454677
-3204121.2254189923,2045711.3530911058,2000.0,3.650293575188264
-3204121.2254189923,2050702.7074350803,2000.0,2.483826857871353
-3204121.2254189923,2055694.061779055,2000.0,1.2470057923546098
-3204121.2254189923,2060685.4161230295,2000.0,-0.612860565211366
-3204121.2254189923,2065676.770467004,2000.0,-2.483478414132983
-3204121.2254189923,2070668.1248109788,2000.0,0.8542837466329014
-3204121.2254189923,2075659.4791549533,2000.0,5.122630407905473
-3204121.2254189923,2080650.8334989278,2000.0,3.500908171532828
-3204121.2254189923,2085642.1878429025,2000.0,-2.471110685384165
