Lon,Lat,Easting,Northing,Height Sea Level,Height Ellipsoid,Total Gravity,Free Air Disturbance,Topo Free Disturbance
20.863,-31.478,1992505.4258695839,-3150895.2125688028,1128.9,1129.0,979136.3626995336,42.74094489403069,-82.08040590558842
20.864,-31.794,1992600.9301319562,-3186169.79861397,1122.2,1122.3,979161.2508826556,40.06503473315388,-84.01314019954701
20.89,-31.276,1995084.0409536313,-3128409.2984005916,1130.8,1130.9,979105.2275574076,28.415382504230365,-96.45479916082863
20.893,-31.403,1995370.5537407475,-3142540.781611006,1056.1,1056.2,979138.9136686136,28.86345504503697,-88.9418117862054
20.895,-31.195,1995561.562265492,-3119406.340963052,1104.1,1104.2,979101.437629324,22.87721134000458,-99.91781201645541
20.896,-31.844,1995657.0665278642,-3191762.348158418,1131.2,1131.3,979163.496558261,41.03977647959255,-83.55757374549904
20.904,-31.129,1996421.100626841,-3112076.3507678392,1125.1,1125.2,979089.3253283326,22.52335631195456,-103.03432590439647
20.907,-31.67,1996707.6134139576,-3172313.437214107,1138.3,1138.4,979148.3331301772,42.136264169123024,-84.72862057835506
20.923,-31.731,1998235.6816119114,-3179127.5332008754,1209.1,1209.2,979137.29470961,48.01121855492238,-85.18125680849104
20.936,-31.058,1999477.237022749,-3104196.8051468777,1146.6,1146.7,979077.5672254966,23.07070646330249,-102.93873063897799
20.94,-31.81,1999859.2540722375,-3187959.0818554345,1188.9,1189.0,979148.7822731562,46.877925887703896,-85.13992454245096
20.967,-31.809,2002437.8691562847,-3187847.2424868504,1229.8,1229.9,979139.9454161354,50.73892237397376,-85.95389584191227
20.971,-31.499,2002819.8862057733,-3153235.6642295457,1114.0,1114.1,979136.1724955682,36.26414407766424,-83.91837603564056
20.972,-31.38,2002915.3904681455,-3139980.1074029594,1072.3,1072.4,979131.410106774,28.20539236580953,-89.69100776417831
20.979,-31.326,2003583.92030475,-3133970.5761591815,1114.0,1114.1,979112.79721798,26.79210754914675,-94.94712325676214
20.981,-31.003,2003774.9288294946,-3098097.013076581,1131.3,1131.4,979073.6178375558,18.790545917931013,-107.30317817992882
20.985,-31.895,2004156.945878983,-3197469.9025584287,1153.7,1153.8,979161.373298266,41.72561098262668,-84.96007258667261
20.987,-31.945,2004347.954403727,-3203068.6438916167,1182.6,1182.7,979160.2568141528,45.46991337661166,-85.86036129696706
20.992,-31.697,2004825.4757155878,-3175328.954448064,1160.1,1160.2,979143.3044889048,41.65234074636828,-86.36397398900868
20.994,-31.271,2005016.4842403322,-3127853.334430031,1186.3,1186.4,979091.0465365644,31.756548530072905,-100.52978448589923
21.012,-31.984,2006735.5609630304,-3207437.797625618,1256.5,1256.6,979150.5194897582,55.36427879228722,-82.26520692903566
21.017,-31.613,2007213.0822748907,-3165950.250145263,1190.8,1190.9,979128.0135850776,42.61209159367718,-89.46984361024892
21.018,-31.14,2007308.5865372634,-3113297.657869628,1189.0,1189.1,979075.373600964,27.404869441874325,-102.90304361263196
21.018,-31.205,2007308.5865372634,-3120517.39565622,1146.7,1146.8,979090.0937916028,23.874856533366252,-102.501393009323
21.021,-31.554,2007595.099324379,-3159367.935764496,1180.8,1180.9,979126.035498128,42.30529397830833,-89.1156827554891
21.026,-31.673,2008072.62063624,-3172648.450958849,1197.2,1197.3,979131.4332046532,43.16413093847223,-89.30885144287254
21.026,-31.076,2008072.62063624,-3106193.8739077253,1233.9,1234.0,979060.7284111788,31.72560368885752,-105.0424164851625
21.041,-31.837,2009505.184571822,-3190979.2071023053,1200.4,1200.5,979149.3009747248,48.7584256347036,-84.15782882988785
21.059,-31.724,2011224.26129452,-3178345.357876213,1193.6,1193.7,979139.7264906114,46.2272299262695,-84.44732944030233
21.061,-31.316,2011415.269819264,-3132858.0821670718,1106.2,1106.3,979112.1556653637,24.546580576570705,-97.30957260109577
21.061,-31.507,2011415.269819264,-3154127.404463092,1124.7,1124.8,979130.7058401158,33.454436332918704,-90.25064278780405
21.08,-31.686,2013229.8508043345,-3174100.3034817125,1219.7,1219.8,979129.5799513216,47.201994190574624,-87.80657624278675
21.087,-31.958,2013898.3806409396,-3204524.8203019975,1206.3,1206.4,979158.589126074,50.05853446701076,-82.88490272908444
21.093,-31.765,2014471.406215172,-3182927.519599194,1212.8,1212.9,979137.9264914648,47.03556225635111,-86.69954142899098
21.095,-31.44,2014662.4147399163,-3146661.4571390105,1104.9,1105.0,979122.7952222466,24.82597367197741,-98.4057191360833
21.112,-31.022,2016285.9872002425,-3100203.8118608035,1266.8,1266.9,979045.4893016794,30.946494835079648,-109.09251631442615
21.116,-31.913,2016668.004249731,-3199485.095477111,1198.2,1198.3,979155.6771194106,48.29785684053786,-84.23657511861126
21.121,-31.34,2017145.5255615916,-3135528.268251048,1074.3,1074.4,979118.3462306166,18.97008889762219,-100.78080144531896
21.127,-31.27,2017718.5511358245,-3127742.1452065296,1085.4,1085.5,979106.825825936,16.488702705712058,-103.68522410929964
21.132,-31.645,2018196.0724476848,-3169522.0807526475,1161.3,1161.4,979135.3253418223,38.24175076489337,-88.02043382980376
21.145,-31.862,2019437.6278585228,-3193776.4150179843,1244.3,1244.4,979140.5740801208,51.549019364174455,-86.7423691550047
21.153,-31.411,2020201.6619574996,-3143431.5994128375,1107.9,1108.0,979115.599611894,20.88701226655394,-100.25794260974183
21.164,-31.805,2021252.2088435933,-3187399.8972360673,1254.9,1255.0,979132.3132866462,51.17330024554394,-88.35865980247092
21.18,-31.047,2022780.2770415465,-3102976.562078497,1324.3,1324.4,979038.8433660788,40.04258093610406,-105.97269456836625
21.181,-31.519,2022875.7813039192,-3155465.159326382,1106.4,1106.5,979127.6729296251,23.809884306858294,-96.59984421651018
21.19,-31.446,2023735.3196652683,-3147329.8295364897,1168.6,1168.7,979107.8693426758,29.06877580366563,-100.72610977290395
