Lon,Lat,Height Sea Level,Height Ellipsoid,Total Gravity,Free Air Disturbance
21.021,-31.554,1180.8,1180.9,979126.035498128,42.30529397830833
21.026,-31.673,1197.2,1197.3,979131.4332046532,43.164130938472226
21.026,-31.076,1233.9,1234.0,979060.7284111788,31.725603688857518
21.041,-31.837,1200.4,1200.5,979149.3009747248,48.7584256347036
21.059,-31.724,1193.6,1193.7,979139.7264906114,46.2272299262695
21.061,-31.316,1106.2,1106.3,979112.1556653637,24.546580576570705
21.061,-31.507,1124.7,1124.8,979130.7058401158,33.454436332918704
21.08,-31.686,1219.7,1219.8,979129.5799513216,47.201994190574624
21.087,-31.958,1206.3,1206.4,979158.589126074,50.05853446701076
21.093,-31.765,1212.8,1212.9,979137.9264914648,47.03556225635111
21.095,-31.44,1104.9,1105.0,979122.7952222466,24.82597367197741
21.112,-31.022,1266.8,1266.9,979045.4893016794,30.946494835079648
21.116,-31.913,1198.2,1198.3,979155.6771194106,48.29785684053786
21.121,-31.34,1074.3,1074.4,979118.3462306166,18.97008889762219
21.127,-31.27,1085.4,1085.5,979106.825825936,16.488702705712058
21.132,-31.645,1161.3,1161.4,979135.3253418223,38.24175076489337
21.145,-31.862,1244.3,1244.4,979140.5740801208,51.549019364174455
21.153,-31.411,1107.9,1108.0,979115.599611894,20.88701226655394
21.164,-31.805,1254.9,1255.0,979132.3132866462,51.17330024554394
21.18,-31.047,1324.3,1324.4,979038.8433660788,40.04258093610406
21.181,-31.519,1106.4,1106.5,979127.6729296251,23.809884306858294
21.19,-31.446,1168.6,1168.7,979107.8693426758,29.06877580366563
21.192,-31.097,1215.6,1215.7,979064.141128634,27.8153972143773
21.192,-31.629,1160.2,1160.3,979131.5002557264,35.368354619829915
21.198,-31.341,1094.8,1094.9,979111.7772874996,18.645205524051562
21.204,-31.311,1094.8,1094.9,979108.4414781382,17.716585639631376
21.208,-31.388,1143.6,1143.7,979108.1304940248,26.27921761397738
21.211,-31.163,1150.1,1150.2,979083.136811756,21.328094692900777
21.212,-31.246,1144.5,1144.6,979090.9930659408,20.811635837540962
21.214,-31.769,1237.0,1237.1,979131.9527724662,48.20356400846504
21.231,-31.563,1237.8,1237.9,979109.9512883528,43.07946913794149
21.238,-31.023,1303.6,1303.7,979043.3804631048,40.109797538025305
21.239,-31.952,1279.8,1279.9,979143.0130985674,57.64234674163163
21.253,-31.661,1176.8,1176.9,979131.099297576,37.50589069176931
21.266,-31.376,1109.6,1109.7,979111.3336713368,19.95735255687032
21.268,-31.207,1182.9,1183.0,979077.8032189966,22.59159148170147
21.27,-31.716,1229.6,1229.7,979127.635989068,45.88855895353481
21.285,-31.992,1276.9,1277.0,979146.854100274,57.342244011349976
21.295,-31.772,1292.1,1292.2,979120.1056320472,53.11072199395858
21.302,-31.93,1272.9,1273.0,979140.3261955932,54.61163300240878
21.304,-31.499,1180.3,1180.4,979111.065275026,31.610027546063066
21.314,-31.248,1125.2,1125.3,979093.5184815514,17.222815042361617
21.322,-31.434,1130.4,1130.5,979114.7738787156,25.15373591100797
21.333,-31.675,1229.4,1229.5,979122.0331329004,43.53570994560141
21.347,-31.963,1324.7,1324.8,979134.3615777242,61.948445137240924
21.349,-31.802,1294.6,1294.7,979120.7217365898,52.07089559233282
21.362,-31.073,1192.9,1193.0,979066.8502842494,25.43913900910411
21.372,-31.137,1196.7,1196.8,979072.0837926194,26.730321967508644
21.384,-31.276,1160.4,1160.5,979090.3414197118,22.66069739346858
21.391,-31.479,1159.9,1160.0,979113.1465468043,29.007638891111128
21.394,-31.736,1265.0,1265.1,979119.6276738968,47.18400127731729
21.397,-31.202,1198.3,1198.4,979075.9281822668,25.867596220923588
21.419,-31.798,1264.6,1264.7,979123.7574523384,46.176138818846084
21.424,-31.538,1171.3,1171.4,979116.689254183,31.317350300843827
21.428,-31.932,1302.6,1302.7,979134.3094448216,57.59422620164696
21.444,-31.634,1225.6,1225.7,979116.3994924814,40.039149583433755
21.455,-31.703,1234.3,1234.4,979120.6366354604,41.38937061955221
21.465,-31.261,1165.5,1165.6,979087.0753578724,22.17028799012769
21.469,-31.774,1227.1,1227.2,979127.4403896454,40.23283230105881
21.477,-31.866,1256.4,1256.5,979132.233080284,46.6165291427169
21.485,-31.978,1313.5,1313.6,979134.3952550364,57.30988859606441
21.487,-31.331,1201.1,1201.2,979087.1378503556,27.601255323854275
21.489,-31.466,1157.3,1157.4,979110.4243980154,26.529298851150088
21.497,-31.393,1195.3,1195.4,979096.2041204273,29.900146761676297
21.506,-31.512,1140.7,1140.8,979118.9796839736,26.26167439564597
21.51,-31.989,1317.6,1317.7,979135.3437951794,58.63015978387557
21.513,-31.205,1220.3,1220.4,979070.6784063852,27.164335595909506
21.535,-31.022,1328.1,1328.2,979041.810454045,46.177147187059745
21.54,-31.773,1205.0,1205.1,979129.529485818,35.58537352143321
21.542,-31.844,1226.5,1226.6,979131.9205811374,38.862544558010995
21.551,-31.882,1235.5,1235.6,979135.8021296504,42.44200772221666
21.558,-31.718,1188.7,1188.8,979126.2858044028,31.75982098339591
21.56,-31.574,1162.7,1162.8,979118.0163679488,27.09081201418303
21.561,-31.989,1317.5,1317.6,979133.2729632682,56.5284813567996
21.566,-31.174,1255.3,1255.4,979064.2889950414,34.05305722518824
21.569,-31.07,1334.8,1334.9,979043.9482651128,46.5499244814273
21.57,-31.639,1183.4,1183.5,979120.3143922052,30.532579410355538
21.609,-31.948,1274.2,1274.3,979134.7124239784,47.9387635178864
21.61,-31.395,1249.6,1249.7,979082.9809005752,33.26687826414127
21.621,-31.048,1304.8,1304.9,979049.332416462,44.43659525946714
