LINE,STATION,LONGITUDE,LATITUDE,HEIGHT_SEA_LEVEL_M,HEIGHT_ELLIPSOID_M
0,5212,21.566,-31.174,1255.3,1255.4
0,5213,21.569,-31.07,1334.8,1334.9
0,5214,21.57,-31.639,1183.4,1183.5
0,5215,21.609,-31.948,1274.2,1274.3
0,5216,21.61,-31.395,1249.6,1249.7
0,5217,21.621,-31.048,1304.8,1304.9
0,5218,21.621,-31.84,1271.4,1271.5
0,5219,21.632,-31.347,1284.1,1284.2
0,5220,21.634,-31.119,1288.6,1288.7
0,5221,21.637,-31.902,1283.8,1283.9
0,5222,21.641,-31.453,1220.8,1220.9
0,5223,21.646,-31.619,1177.2,1177.3
0,5224,21.659,-31.981,1320.6,1320.7
0,5225,21.66,-31.159,1270,1270.1
0,5226,21.661,-31.231,1281.6,1281.7
0,5227,21.663,-31.29,1334.2,1334.3
0,5228,21.664,-31.582,1214.7,1214.8
0,5229,21.676,-31.906,1298.9,1299
0,5230,21.68,-31.805,1231.3,1231.4
0,5231,21.681,-31.508,1187.9,1188
0,5232,21.699,-31.04,1271.1,1271.2
0,5233,21.706,-31.731,1203.2,1203.3
0,5234,21.711,-31.844,1264.3,1264.4
0,5235,21.711,-31.192,1247.1,1247.2
0,5236,21.712,-31.104,1256,1256.1
0,5237,21.714,-31.614,1192.3,1192.4
0,5238,21.716,-31.654,1192.6,1192.7
0,5239,21.723,-31.343,1255.3,1255.4
0,5240,21.727,-31.481,1188.7,1188.8
0,5241,21.765,-31.656,1199.1,1199.2
0,5242,21.772,-31.431,1200.3,1200.4
0,5243,21.778,-31.21,1248.3,1248.4
0,5244,21.782,-31.494,1210.3,1210.4
0,5245,21.782,-31.388,1204.7,1204.8
0,5246,21.783,-31.855,1288.5,1288.6
0,5247,21.783,-31.747,1252.2,1252.3
0,5248,21.793,-31.076,1288,1288.1
0,5249,21.797,-31.008,1312.9,1313
0,5250,21.809,-31.809,1255.6,1255.7
0,5251,21.82,-31.692,1227.7,1227.8
0,5252,21.822,-31.629,1219.6,1219.7
0,5253,21.826,-31.954,1315.1,1315.2
0,5254,21.834,-31.846,1276.1,1276.2
0,5255,21.852,-31.666,1214.5,1214.6
0,5256,21.855,-31.514,1254.7,1254.8
0,5257,21.863,-31.37,1262,1262.1
0,5258,21.869,-31.443,1224.9,1225
0,5259,21.871,-31.049,1287.7,1287.8
0,5260,21.874,-31.208,1283.7,1283.8
0,5261,21.882,-31.578,1251.3,1251.4
0,5262,21.888,-31.782,1242.3,1242.4
0,5263,21.892,-31.927,1309,1309.1
0,5264,21.912,-31.309,1311.4,1311.5
0,5265,21.915,-31.178,1277.3,1277.4
0,5266,21.918,-31.85,1322,1322.1
0,5267,21.919,-31.705,1267.9,1268
0,5268,21.926,-31.241,1291.6,1291.7
0,5269,21.945,-31.018,1316.3,1316.4
0,5270,21.949,-31.379,1290.4,1290.5
0,5271,21.964,-31.952,1331.3,1331.4
0,5272,21.965,-31.148,1283.5,1283.6
0,5273,21.965,-31.19,1346.4,1346.5
0,5274,21.968,-31.558,1244.3,1244.4
0,5275,21.979,-31.856,1307.3,1307.4
0,5276,21.98,-31.61,1261.4,1261.5
0,5277,21.986,-31.464,1276.2,1276.3
0,5278,21.992,-31.261,1304.9,1305
0,5279,21.995,-31.8,1270.6,1270.7
0,5280,20.009,-30.701,962.4,962.5
0,5281,20.039,-30.13,940,940.1
0,5282,20.084,-30.645,969.3,969.4
0,5283,20.086,-30.177,900,900.1
0,5284,20.101,-30.976,1026.3,1026.4
0,5285,20.101,-30.119,920,920.1
0,5286,20.13,-30.831,931,931.1
0,5287,20.145,-30.196,930,930.1
0,5288,20.147,-30.594,971.2,971.3
0,5289,20.164,-30.792,935,935.1
0,5290,20.212,-30.591,947.7,947.8
0,5291,20.227,-30.2,920,920.1
0,5292,20.249,-30.069,918,918.1
0,5293,20.251,-30.649,995.6,995.7
0,5294,20.257,-30.706,950.8,950.9
0,5295,20.269,-30.525,976.2,976.3
0,5296,20.293,-30.576,948.9,949
