longitude,latitude,height_sea_level_m,gravity_mgal
18.63556,-33.69028,72.6,979592.82
18.63722,-33.80528,188.3,979574.43
18.64166,-33.77278,162.0,979580.43
18.64223,-33.86333,191.1,979579.07
18.64417,-33.49445,217.3,979542.94
18.64555,-33.94057,71.4,979618.09
18.64610,-33.12666,184.1,979528.01
18.65028,-33.66888,117.9,979578.88
18.65083,-33.59721,92.6,979575.84
18.65250,-33.33556,178.4,979546.79
18.65668,-33.73444,112.4,979587.22
18.65668,-33.98193,52.7,979628.01
18.65694,-33.72000,83.8,979592.23
18.65944,-33.69722,99.8,979586.60
18.65944,-33.02417,423.1,979469.78
18.65971,-33.09557,212.3,979521.28
18.66333,-33.76472,339.7,979539.88
18.66667,-33.78751,147.6,979581.68
18.66806,-33.18723,335.0,979497.10
18.67389,-33.87473,109.2,979596.73
18.67860,-33.38556,334.3,979521.12
18.67889,-33.05389,479.5,979455.81
18.68111,-33.25999,220.8,979528.20
18.68443,-33.82832,153.0,979583.37
18.69139,-33.13167,347.6,979490.87
18.69611,-33.86333,122.1,979591.60
18.70277,-33.46556,203.1,979547.62
18.70612,-33.67972,100.9,979579.59
18.71693,-33.42444,297.7,979527.42
18.71861,-33.78833,111.5,979587.80
18.72221,-33.56805,294.5,979528.87
18.72250,-33.52722,354.3,979517.41
18.72417,-33.02167,138.5,979525.19
18.72528,-33.33694,234.1,979532.34
18.73111,-33.59833,143.8,979562.49
18.73138,-33.92361,334.3,979548.93
18.73444,-33.09583,187.5,979516.64
18.73582,-33.18944,362.7,979489.02
18.73611,-33.73807,108.0,979584.17
18.73721,-33.64194,130.4,979570.01
18.74750,-33.99222,113.2,979608.33
18.74779,-33.26778,368.3,979494.92
18.75194,-33.48083,286.3,979527.82
18.75528,-33.07306,88.9,979535.03
18.75694,-33.81194,133.0,979583.90
18.75945,-33.85390,179.4,979576.22
18.76666,-33.15889,217.5,979515.46
18.76723,-33.75999,137.1,979579.84
18.76944,-33.96832,177.1,979586.88
18.77417,-33.34694,258.4,979526.66
18.77583,-33.52611,382.4,979508.79
18.77917,-33.69528,118.2,979579.22
18.78471,-33.67833,134.1,979573.13
18.79750,-33.28444,160.1,979538.15
18.80112,-33.64639,185.7,979555.90
18.80360,-33.42139,232.8,979538.56
18.80611,-33.46918,199.9,979546.74
18.80722,-33.59250,758.5,979427.79
18.81168,-33.89223,300.1,979555.17
18.81416,-33.94057,170.3,979584.20
18.81444,-33.80167,205.9,979567.13
18.81583,-33.10889,92.8,979533.46
18.82111,-33.60278,749.0,979428.36
18.82388,-33.74500,191.0,979567.27
18.82916,-33.03722,93.2,979525.14
18.83501,-33.34833,945.6,979353.73
18.83667,-33.16000,62.4,979544.29
18.84444,-33.99194,172.3,979587.47
18.84528,-33.52251,224.8,979543.46
18.84862,-33.21500,128.2,979532.78
18.85944,-33.86166,250.4,979565.87
18.86555,-33.95250,162.4,979588.95
18.86749,-33.62917,150.8,979564.33
18.87862,-33.68611,183.2,979563.51
18.88083,-33.08028,119.3,979520.68
18.88222,-33.75389,193.8,979565.46
18.88278,-33.40971,463.2,979476.82
18.88499,-33.46140,462.9,979485.44
18.89111,-33.92944,199.2,979581.57
18.89139,-33.25111,98.1,979541.40
18.89610,-33.81833,310.7,979546.32
18.89806,-33.19194,115.4,979532.11
18.90111,-33.51582,265.9,979534.73
18.90111,-33.14362,333.0,979475.64
18.90443,-33.56111,125.9,979567.61
18.90443,-33.34557,150.3,979538.59
18.90694,-33.30611,138.7,979535.45
18.90833,-33.86389,914.8,979415.02
18.91194,-33.04611,139.6,979510.16
18.92168,-33.91833,382.2,979545.49
18.92444,-33.26582,100.6,979540.39
18.93668,-33.10361,137.4,979513.27
18.94057,-33.69112,458.0,979499.84
18.94278,-33.76527,384.1,979520.41
18.95029,-33.74001,543.1,979481.69
18.95500,-33.37611,112.9,979544.58
18.95612,-33.79388,144.1,979577.13
18.96083,-33.45306,74.8,979561.86
18.96222,-33.13083,114.2,979517.44
18.96278,-33.63000,179.2,979561.52
18.96584,-33.33057,98.7,979541.95
18.97166,-33.03778,177.3,979493.30
18.97250,-33.96777,1493.8,979267.79
18.97333,-33.85944,169.4,979577.80
18.97778,-33.07806,139.9,979504.98
18.97806,-33.19611,70.8,979531.03
18.98056,-33.59222,131.7,979564.62
18.98778,-33.53471,127.6,979557.37
18.99167,-33.95139,1286.6,979329.33
19.01389,-33.99722,1094.5,979386.84
19.18723,-33.41222,283.5,979506.59
19.21001,-33.52333,239.9,979531.84
19.21167,-33.69333,373.1,979514.04
19.28333,-33.58501,218.8,979545.03
19.30000,-33.68167,226.8,979547.83
19.30833,-33.97667,371.2,979545.63
19.31989,-33.04568,954.5,979320.18
19.32019,-33.30852,494.2,979433.46
19.33049,-33.19026,1029.5,979318.49
19.33408,-33.23705,797.0,979364.33
19.34026,-33.11613,986.6,979322.63
19.35834,-33.64000,204.5,979549.13
19.36333,-33.90668,278.3,979559.53
19.37833,-33.85167,266.7,979556.33
19.38380,-33.33575,545.2,979429.16
19.40990,-33.17188,998.5,979322.29
19.42168,-33.77834,198.4,979562.23
19.44333,-33.63667,264.9,979534.34
19.44875,-33.29372,724.9,979384.63
19.45000,-33.70168,203.6,979550.43
19.50067,-33.20316,1015.2,979320.88
19.50999,-33.57500,301.1,979516.44
19.53999,-33.53168,351.1,979488.95
19.55167,-33.51334,358.8,979486.65
19.63000,-33.48500,424.0,979466.76
19.65849,-33.23856,870.5,979352.61
19.72501,-33.44667,610.2,979423.27
19.73500,-33.28833,924.1,979343.89
19.74413,-33.19974,727.1,979375.65
19.76035,-33.14139,666.9,979384.54
19.76500,-33.40668,660.5,979401.28
19.83833,-33.42833,959.2,979349.69
19.84737,-33.09303,606.9,979391.72
19.87167,-33.32333,810.8,979365.79
19.87189,-33.01816,563.2,979392.73
19.88638,-33.80722,181.0,979552.13
19.95500,-33.39500,837.6,979365.59
19.96001,-33.81833,220.1,979549.83
19.96167,-33.84833,145.7,979568.73
19.99834,-33.92500,138.4,979588.52
20.01833,-33.88667,135.0,979582.72
20.03667,-33.34000,771.8,979368.19
20.04333,-33.96167,341.7,979583.62
20.05167,-33.83333,173.7,979564.03
20.07500,-33.39833,761.1,979373.98
20.08000,-33.30167,805.6,979357.29
20.11667,-33.85667,243.2,979557.73
20.18668,-33.90167,270.1,979556.93
20.19167,-33.44667,732.4,979380.08
20.28833,-33.25999,981.1,979314.50
20.29333,-33.98500,260.6,979574.33
20.32167,-33.47833,674.8,979393.88
20.35834,-33.99167,256.9,979576.03
20.40668,-33.51500,622.4,979409.67
20.45833,-33.25166,995.2,979310.00
20.48244,-33.08060,906.1,979315.45
20.51550,-33.19193,950.5,979315.85
20.55499,-33.94667,142.3,979590.82
20.58321,-33.02515,1091.2,979273.36
20.58665,-33.21053,901.1,979326.51
20.59148,-33.07964,911.4,979314.34
20.59402,-33.14488,884.1,979325.46
20.62334,-33.58833,562.7,979434.37
20.66603,-33.02048,982.2,979293.21
20.67084,-33.09691,861.9,979325.51
20.69832,-33.04968,945.9,979304.36
20.71439,-33.18134,817.8,979340.99
20.72333,-33.90167,370.9,979536.44
20.77184,-33.02959,885.3,979313.98
20.77333,-33.64667,419.7,979474.65
20.78000,-33.37334,786.4,979364.09
20.78888,-33.18286,699.4,979363.90
20.85667,-33.84833,429.5,979514.44
20.90167,-33.25833,696.5,979372.48
20.90500,-33.76334,447.4,979490.15
20.91502,-33.06657,775.1,979340.40
20.92332,-33.34000,675.4,979381.88
20.93333,-33.48500,507.5,979435.37
20.94476,-33.18309,728.7,979359.59
20.95833,-33.69333,406.9,979490.85
20.96167,-33.63167,346.9,979491.95
21.00833,-33.37833,621.2,979400.38
21.02048,-33.16618,704.3,979362.75
21.06992,-33.11499,780.1,979344.78
21.08333,-33.50667,365.4,979467.26
21.10069,-33.14519,807.7,979341.42
21.12666,-33.58667,320.9,979486.25
21.13499,-33.37000,669.6,979387.48
21.16667,-33.53667,375.5,979470.46
21.18327,-33.13042,780.1,979344.98
21.22296,-33.07585,733.9,979349.44
21.23016,-33.16663,742.8,979354.84
21.27000,-33.37000,848.9,979345.89
21.27000,-33.50000,538.3,979431.67
21.29044,-33.12370,719.1,979354.54
21.29533,-33.17894,669.6,979368.31
21.32298,-33.03329,707.7,979348.72
21.36403,-33.02904,669.9,979354.36
21.36635,-33.17896,643.3,979372.75
21.37163,-33.11218,642.7,979367.08
21.40144,-33.07185,593.0,979372.76
21.41333,-33.35834,979.3,979314.30
21.41333,-33.44000,632.5,979381.98
21.43944,-33.16306,553.7,979387.58
21.46333,-33.48334,477.9,979448.96
21.46461,-33.06795,524.1,979384.71
21.51334,-33.32001,538.6,979401.78
21.52583,-33.09590,519.5,979387.47
21.53445,-33.00899,511.8,979381.13
21.54832,-33.31168,508.1,979409.07
21.55522,-33.18073,460.8,979407.08
21.55667,-33.47501,727.5,979418.07
21.58839,-33.12646,427.2,979407.25
21.59099,-33.03969,515.7,979382.44
21.64130,-33.20882,393.8,979422.37
21.64500,-33.65334,470.0,979482.05
21.64500,-33.49167,487.1,979460.36
21.64667,-33.55499,328.0,979492.05
21.64833,-33.62500,321.6,979509.84
21.65334,-33.26167,386.8,979430.87
21.67833,-33.53667,227.4,979511.54
21.67999,-33.25500,439.2,979419.27
21.69102,-33.17291,484.8,979401.54
21.69667,-33.50833,256.6,979507.45
21.71667,-33.59500,235.3,979517.74
21.72333,-33.52667,340.1,979485.95
21.72408,-33.20657,483.3,979403.86
21.75333,-33.23167,421.5,979419.57
21.77167,-33.64333,227.1,979532.64
21.77499,-33.52499,393.8,979473.55
21.78676,-33.22276,410.6,979418.09
21.81032,-33.17049,446.6,979404.98
21.82211,-33.08344,530.6,979378.94
21.84332,-33.53168,377.6,979482.05
21.85333,-33.68333,798.3,979423.27
21.85719,-33.20840,478.6,979400.86
21.88795,-33.15021,449.8,979399.78
21.89000,-33.62000,228.3,979528.94
21.90500,-33.56168,297.8,979500.05
21.90697,-33.10912,466.1,979391.16
21.90833,-33.22667,527.6,979391.48
21.93085,-33.26672,654.5,979372.28
21.94666,-33.21088,539.0,979387.98
21.94707,-33.06215,471.5,979386.92
21.95833,-33.61000,243.2,979520.34
21.96167,-33.55499,354.5,979486.55
21.96832,-33.22000,571.5,979384.38
21.97092,-33.15297,510.0,979386.05
21.99228,-33.01213,481.7,979382.35
21.99779,-33.24113,637.1,979371.32
22.01167,-33.50333,388.9,979476.25
22.01167,-33.40668,679.4,979399.88
22.02167,-33.88333,806.2,979462.16
22.03873,-33.13695,589.8,979368.69
22.04333,-33.96167,341.7,979583.62
22.04500,-33.80167,497.4,979510.84
22.04668,-33.35167,1570.9,979192.14
22.04832,-33.60500,292.6,979508.44
22.06168,-33.69667,318.8,979530.14
22.07333,-33.77667,533.4,979501.55
22.08501,-33.67332,296.3,979530.24
22.08833,-33.75166,478.8,979504.85
22.08849,-33.18422,575.6,979375.89
22.10001,-33.57832,338.0,979487.75
22.10333,-33.73167,474.3,979504.65
22.11501,-33.37334,912.6,979341.69
22.15334,-33.70168,296.0,979532.44
22.16302,-33.16638,662.5,979355.65
22.18333,-33.64000,286.8,979519.84
22.19000,-33.60001,329.5,979497.15
22.20583,-33.77299,514.2,979500.35
22.21500,-33.63333,303.6,979512.94
22.21632,-33.40199,598.5,979410.95
22.22717,-33.71832,609.6,979470.65
22.24367,-33.67332,331.7,979519.45
22.24500,-33.79500,458.4,979520.24
22.24550,-33.53934,376.2,979472.95
22.24617,-33.62833,296.6,979501.25
22.24750,-33.58434,394.7,979478.25
22.24817,-33.15482,757.6,979334.79
22.24834,-33.49049,417.9,979462.75
22.25082,-33.44200,474.3,979444.05
22.26334,-33.62334,309.4,979508.24
22.27667,-33.59000,322.5,979493.05
22.29796,-33.10127,865.2,979309.70
22.29875,-33.16928,740.3,979340.78
22.30167,-33.76334,478.8,979509.34
22.32832,-33.63834,328.6,979509.74
22.32832,-33.99500,191.7,979617.51
22.34332,-33.81667,562.0,979494.55
22.37334,-33.68668,513.0,979485.85
22.38367,-33.16170,806.0,979326.92
22.38499,-33.97333,216.7,979610.72
22.38557,-33.10100,928.2,979296.71
22.39166,-33.64999,377.0,979505.95
22.39667,-33.56000,383.4,979477.15
22.40833,-33.72333,572.1,979477.75
22.41167,-33.92500,341.4,979567.93
22.41833,-33.99001,172.8,979620.91
22.43167,-33.88333,738.5,979476.35
22.44000,-33.57333,379.2,979485.85
22.45332,-33.95500,225.6,979603.52
22.45332,-33.83000,588.9,979493.15
22.46001,-33.53000,416.7,979473.95
22.46167,-33.08963,995.6,979282.43
22.46500,-33.30000,785.8,979348.19
22.46825,-33.16759,871.6,979313.64
22.49333,-33.48833,468.5,979461.46
22.51740,-33.05855,964.1,979286.70
22.53500,-33.53500,411.2,979471.66
22.53667,-33.65167,618.7,979452.66
22.53999,-33.33501,723.9,979360.49
22.54283,-33.17625,866.5,979312.39
22.54500,-33.99001,111.2,979631.71
22.54634,-33.24217,887.5,979314.97
22.54668,-33.38667,505.4,979412.87
22.55959,-33.11617,923.3,979295.60
22.56000,-33.46500,472.1,979441.66
22.56168,-33.49667,458.1,979458.36
